"NOME_CATMETROPOL";"tipo";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Região Metropolitana do Sertão";"Total";0;0;0;0;0;0;0;0;0,645723694830982;0;1,97538668194299;0;0;0;0;0;0;0;0;0;0;0;0
"Região Metropolitana do Rio de Janeiro";"Total";0;0;0;0;0;0;0;0;45,6306165131375;47,1147446207548;51,2684405253006;59,2262382221379;62,4030601711742;73,2578123497008;72,4463923835821;58,0418949434547;51,6457264705491;56,1387343066361;49,3716855190486;58,2953636860972;46,0873359585549;64,1420674396111;66,2446109709527
"Região Metropolitana do Planalto Norte";"Total";0;0;0;0;0;0;0;0;1,7412047395593;3,03278439935705;29,850091086675;2,18697785903616;1,30767386613779;23,8455151269987;11,86827905715;12,2365450747906;20,5834786078847;20,492917396814;20,8910448447169;17,06257386846;43,9418309648963;113,568316504574;105,291313042112
"Região Metropolitana do Médio Sertão";"Total";0;0;0;0;0;0;0;0;0;1,4087582500405;0;22,2111166638903;63,695590465047;121,853775469437;180,565328801498;133,729667463307;78,5789751716852;36,2309293562752;32,7710972298391;41,3231402920613;23,9492276374087;77,6526338844237;92,0389795617258
"Região Metropolitana do Extremo Oeste";"Total";0;0;0;0;0;0;0;0;4,76546467748229;9,79961276681673;6,06060606060606;42,3532686135053;121,426306012414;115,272579646241;130,129774875489;123,973162762004;93,3910374064985;135,554346707441;132,554892453797;121,482736508945;134,236467671629;116,16071245237;131,525006832468
"Região Metropolitana do Contestado";"Total";0;0;0;0;0;0;0;0;22,9339178438058;46,891232552217;50,7697412342244;51,3169357822252;58,7986078390225;55,3568879784899;68,4286894468393;65,3410498001669;45,4424963077972;44,7945192588201;81,2725822345268;94,6326312724449;84,6510557248989;72,5697445101819;80,1056207443889
"Região Metropolitana do Cariri";"Total";0;0;0;0;0;0;0;0;1,62178233879033;1,42774282782314;0,354309645371476;21,0668239656189;115,562470739548;38,5658947799526;164,517992778829;207,492969976625;253,800741338924;246,586586952512;304,697795936702;263,720177629571;226,606803751003;287,774919134274;272,055781698525
"Região Metropolitana do Alto Vale do Itajaí";"Total";0;0;0;0;0;0;0;0;7,13891195467167;21,9880966134604;4,45394619632995;9,94508105241058;11,3354224638821;53,8428567886278;42,7957555029378;51,0734102098179;60,2310117433264;46,7174989428887;52,8453494398732;58,4243555692849;74,2350955568797;61,0722302918262;55,5187940801472
"Região Metropolitana do Agreste";"Total";0;0;0;0;0;0;0;0;102,617099938866;127,766774132921;136,490610136654;124,490474400856;138,697499497603;160,177745627406;160,741949193206;236,220741033845;247,402024044013;201,402546364016;300,240467193404;230,487685934433;239,246280428017;200,549982834281;193,104905075825
"Região Metropolitana de Umuarama";"Total";0;0;0;0;0;0;0;0;6,00446331773285;9,64904108495149;35,7325336370042;39,638787386205;124,943094401818;209,083405329539;207,975375715515;224,75635454757;187,745999675971;202,609226950826;152,133545127092;74,5712155108128;0;0;0,614660261906738
"Região Metropolitana de Tubarão";"Total";0;0;0;0;0;0;0;0;100,148378475759;155,021311913571;109,329139579672;152,820498545561;132,162122556867;141,589123380977;155,19532288068;162,516824574019;142,82543702756;146,781675848072;148,2732346218;176,42943588539;144,128717837005;156,087408949011;140,673703642462
"Região Metropolitana de Toledo";"Total";0;0;0;0;0;0;0;0;0;1,40042685010391;33,1790553727764;40,1136461091147;28,8315796410606;6,85570843199401;7,57888574699066;6,47809367841707;11,0503484714541;8,66732266402908;21,0241549809516;26,1094639275161;27,1298149199048;17,2785324108243;7,64631949190207
"Região Metropolitana de São Paulo";"Total";0;0;0;0;0;0;0;0;79,8580224788226;87,7225405163712;95,9867100014098;103,957314492039;95,7929185296686;89,2847086182054;83,2043480445665;72,1784213783163;76,2982937530442;77,1610420975986;80,6767108545849;83,6313133083797;86,9650927416029;95,0676744326962;101,467504149596
"Região Metropolitana de São José do Rio Preto";"Total";0;0;0;0;0;0;0;0;75,1895800566777;95,2692355643585;81,8917957037755;80,0794425810347;91,6513135129574;133,392021342723;183,223107406228;165,794842890434;183,014989591771;164,462147267004;180,922823675409;184,48372540965;193,986420950533;202,227614958621;231,378747547972
"Região Metropolitana de Sousa";"Total";0;0;0;0;0;0;0;0;0;30,8827162672502;40,1008759813576;77,2248752862646;26,5298903431199;59,7149261352327;5,16827026607978;145,777594841188;120,388316356588;130,097615727356;40,9965579973181;78,3652330939787;152,853260869565;143,086952840572;101,444033767631
"Região Metropolitana de Sorocaba";"Total";0;0;0;0;0;0;0;0;57,6764069021258;77,9928681417523;79,255564189525;93,0347622274637;74,4371442919317;76,9632761651385;72,0820133129249;90,8517473558621;92,1631786572333;79,1043396774822;72,4024159294749;95,3453376409772;105,590578071495;112,776597280207;109,030233577724
"Região Metropolitana de Sobral";"Total";0;0;0;0;0;0;0;0;0;4,37342010198816;1,08586357644371;70,7665371072619;86,5295266025012;69,3459548541124;91,0035053969847;117,307122394547;102,602883917713;88,5295365803639;107,171401583957;100,901480357376;123,642973423752;220,779040286219;199,736166306204
"Região Metropolitana de Santarém";"Total";0;0;0;0;0;0;0;0;0,693404337937538;24,8845632759145;41,8143571203417;25,5190739128077;45,2534509712087;36,1932218831708;34,3881085301097;24,307542722814;34,5417863911475;35,2372591487772;29,7377428458425;62,0558206882286;49,632455514342;41,7439026170216;31,8576205302286
"Região Metropolitana de Salvador";"Total";0;0;0;0;0;0;0;0;53,0321772406424;64,2265243388264;70,6776464175863;72,432002864029;73,5721646852511;64,4109117542191;77,9108662953613;68,7781917229405;64,6491740791947;76,1604949186903;88,2926237577679;107,018995426306;99,1265843702922;102,723593222602;113,49118392632
"Região Metropolitana de Ribeirão Preto";"Total";0;0;0;0;0;0;0;0;106,918082813918;121,601448007349;168,482073136837;171,475468462727;140,806338425537;142,417435120946;145,306186593525;132,321099200727;131,597544875785;126,868027470204;120,941286206761;123,39658546594;127,848101265823;147,974762810187;132,72821727858
"Região Metropolitana de Recife";"Total";0;0;0;0;0;0;0;0;2,09018841440719;2,25529875809984;39,072798693527;81,045887358321;106,17401212761;160,156959520788;105,832873069238;133,6376180059;98,5672724172025;97,4355340634778;89,651107772253;86,3039484056396;83,0573659979248;72,916625484793;81,6596635611127
"Região Metropolitana de Porto Velho";"Total";0;0;0;0;0;0;0;0;51,4719982237114;183,827202429716;268,343497521782;154,597126467028;144,556061861364;205,525971277549;133,697588420089;85,7842904671258;145,53922282055;189,644980191004;225,658736531051;190,925810400962;308,076690981081;400,852656753665;383,714112267456
"Região Metropolitana de Porto Alegre";"Total";0;0;0;0;0;0;0;0;54,7283173415032;64,2859990119138;84,3489013809807;75,0637708819709;60,8147256653868;56,3889510825849;50,2548351707438;56,9861979287736;47,0247107723066;49,6616624544322;40,7642556771174;39,2330051168777;39,5596910126845;42,8802577924605;45,3706844651822
"Região Metropolitana de Piracicaba";"Total";0;0;0;0;0;0;0;0;30,9622108038446;38,8054835466192;39,526864875313;36,3907287620262;27,2658994721236;27,8489739223027;43,6919568247716;95,1972325762248;94,7850287512371;121,359063300518;140,696034627654;132,332568285673;139,134891020611;130,482869200135;139,564401071223
"Região Metropolitana de Patos";"Total";0;0;0;0;0;0;0;0;69,8251198135579;104,945500405369;273,507540798587;184,22041270804;171,567523753771;82,2245477649873;144,195476631594;144,204248813138;172,979035458545;122,270892234297;111,786337033648;202,032359566017;222,998364964004;149,609991048975;323,068432175821
"Região Metropolitana de Palmeira dos Índios";"Total";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Região Metropolitana de Palmas";"Total";0;0;0;0;0;0;0;0;16,8801963824881;12,6798067033911;20,4952860842006;57,8108312021713;50,7104266405183;50,6853943871634;249,363719593407;227,781426478438;271,808301802132;223,051952870734;205,75786079011;341,466635305381;375,701143129558;416,300790292967;334,614980734901
"Região Metropolitana de Natal";"Total";0;0;0;0;0;0;0;0;70,700541574913;95,5798293402685;151,149731998271;148,879436889109;128,50668901725;80,6178562985074;88,9778595687708;82,1602009097584;89,3995112322705;125,127773510015;126,846426292898;193,647063050517;203,799349607852;195,154344930904;236,333724167775
"Região Metropolitana de Maringá";"Total";0;0;0;0;0;0;0;0;102,751240550944;180,516034788798;173,381056131943;182,448508669754;200,956833215391;157,797167233621;155,330270664935;153,107650781641;142,495170083853;149,65133491243;132,342675024113;120,659164672947;133,257668039004;152,051382881112;188,887675812869
"Região Metropolitana de Manaus";"Total";0;0;0;0;0;0;0;0;4,41123318158059;3,30892958924067;6,37822320795677;12,233705593873;8,4504353506668;7,48538088661458;17,0292580408767;27,1009045124987;36,7484332282136;35,3268035519704;35,1925461731146;29,1004342277888;26,8551153667836;36,3637415181392;49,6796099558254
"Região Metropolitana de Maceió";"Total";0;0;0;0;0;0;0;0;16,9781749400432;37,900769048716;56,2095016879756;55,7660134992212;81,3316212048001;76,6938538067932;57,2718813891491;44,8947929042885;62,1531391581763;59,5631879567373;51,8198912016059;44,0548758062855;32,0865984204468;49,4097976722325;60,9612721746628
"Região Metropolitana de Macapá";"Total";0;0;0;0;0;0;0;0;49,0224288268933;70,8672775049701;80,1551990520776;63,7203586545901;120,129055052952;112,410867918115;119,171730453321;104,428872712429;94,1050840104784;85,1671569237623;98,3529040901568;79,5268000674585;75,5260610499794;64,9609562252756;90,5239906050777
"Região Metropolitana de Londrina";"Total";0;0;0;0;0;0;0;0;79,9948416424533;115,826954529932;114,392907639726;152,001317609333;161,984223032089;172,645273528355;168,757156484079;156,163342582984;152,098750874038;160,278229848485;186,456910207472;161,932101869686;178,988194983871;130,707856444216;148,708650452923
"Região Metropolitana de Lages";"Total";0;0;0;0;0;0;0;0;1,0906612133606;11,1333476347067;40,5098535939657;15,6841273779276;18,5291820363856;8,97225610183511;0,840877876503069;111,5208302978;118,768172370714;119,851026294419;91,6247656682565;82,3674600742713;102,909585774859;92,8061195792789;109,791286213194
"Região Metropolitana de Jundiaí";"Total";0;0;0;0;0;0;0;0;1,65389906705057;2,22805146501811;34,0620903246489;3,814480616081;2,5117388907882;1,73003933843296;0,787893749901513;1,29645355131039;4,99406474612864;2,65720532858242;1,86350219147858;3,06621303066949;3,99772250960059;5,62705103016937;3,5565503358569
"Região Metropolitana de João Pessoa";"Total";0;0;0;0;0;0;0;0;106,102076096731;180,581323438466;200,21223361611;198,847267175155;185,94901616066;186,791815820817;194,928784403114;217,237006850462;158,866567851399;149,427519464182;174,185901996347;209,715105041376;192,137328198304;249,509891284976;248,416155330635
"Região Metropolitana de Joinville";"Total";0;0;0;0;0;0;0;0;44,0051970694767;108,686380633463;123,03087017231;114,915017105014;221,525770177796;134,671184128361;160,2364289744;160,24471970548;131,881874088146;114,038815696274;90,7288629737609;89,6944523981192;60,803996728382;53,7400860737045;61,5264021615254
"Região Metropolitana de Jaraguá do Sul";"Total";0;0;0;0;0;0;0;0;28,0617531256476;31,7670080561132;125,424467046839;90,6202142435982;162,075184229346;135,796063018206;115,745317167331;164,7903753988;177,34335529504;163,151892730153;141,7780283622;158,588145616863;166,554785758616;178,940893586087;193,083973426818
"Região Metropolitana de Itabaiana";"Total";0;0;0;0;0;0;0;0;0;0;0;2,26779653329503;9,80643603940679;2,22061022368947;0;8,0965699985279;1,4682131845544;0,732257403122346;0;0;0;0;0
"Região Metropolitana de Gurupi";"Total";0;0;0;0;0;0;0;0;8,52723314023888;10,7262822141305;14,4743581178881;7,18394774506933;21,9494394661896;50,8576938154925;53,1047899468952;61,0704554707645;65,3062916910701;53,5378754729608;20,1084826860808;19,9744941075242;18,8266422429146;16,1786118751011;17,8475816526861
"Região Metropolitana de Guarabira";"Total";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,59116573229855;4,3864546281084;1,23368959547318
"Região Metropolitana de Goiânia";"Total";0;0;0;0;0;0;0;0;99,6431471589597;218,950664763119;226,90431650582;210,266388662342;249,07216274319;197,175699317047;226,832678796478;227,380368931959;237,866206648651;233,902691200851;208,109705822871;284,753228536085;233,79763904688;312,462667352289;485,818439105423
"Região Metropolitana de Fortaleza";"Total";0;0;0;0;0;0;0;0;115,015460149034;146,99711003523;208,32898980487;212,317253808277;196,860421102622;203,261225940671;207,520353298528;172,910662824207;186,852500725888;147,689488773229;169,704495758001;185,351823868279;180,106105988528;199,760268483943;188,245479892775
"Região Metropolitana de Florianópolis";"Total";0;0;0;0;0;0;0;0;145,483374218105;137,92115575473;122,10627395076;123,530098901955;109,135097156152;107,583835666149;116,218195163812;110,51422241186;117,522990326487;106,90433043591;120,00534477586;102,412098348677;74,2677951900824;132,962746401596;114,234166775988
"Região Metropolitana de Feira de Santana";"Total";0;0;0;0;0;0;0;0;78,5007367546211;113,40333644553;126,329165411045;153,580482786494;173,947472230269;187,375299213652;144,264245587231;135,239101122391;147,196805855931;135,660655503833;158,806557840666;138,158817878615;155,620762113175;209,464051314038;185,544971126245
"Região Metropolitana de Esperança";"Total";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Região Metropolitana de Curitiba";"Total";0;0;0;0;0;0;0;0;40,5185283888038;42,0530714526954;50,6229225059836;55,0168552476127;52,5891161832962;52,5090032094342;52,6683013261394;48,5898383859723;45,0833179286887;56,9656856625067;48,5473552479691;44,0223696018561;54,5765968730534;43,8130012870572;42,7885190789596
"Região Metropolitana de Chapecó";"Total";0;0;0;0;0;0;0;0;84,6724074087177;179,313698444389;171,050508310473;191,019785171289;141,153013945374;94,1401067505025;114,943523982284;220,930132986239;238,021121198068;231,092040838133;223,866170849174;193,398128564492;215,31573190034;207,19221263933;207,602628761279
"Região Metropolitana de Central";"Total";0;0;0;0;0;0;0;0;0;11,7716303708064;3,69085406363032;0;3,53269509308652;0;0;0;0;0;0;0;0;0;0
"Região Metropolitana de Cascavel";"Total";0;0;0;0;0;0;0;0;70,9004355312468;42,8097678625264;38,919990741139;18,9403196637177;21,0634617799435;7,79879118736596;10,6489674373938;3,65421860304993;0;9,30382691084465;3,60604525017413;3,77051158301158;5,80651565979812;2,60591654738394;2,14388314407609
"Região Metropolitana de Campo Mourão";"Total";0;0;0;0;0;0;0;0;53,9312332570044;2,66064375753849;2,09502431724654;13,5063344708668;12,6412357108889;2,05023065094823;8,21444392615215;7,93370944992948;6,47464440958601;14,4430296170534;17,5670272955259;8,2101057279171;10,3786687831011;11,3370694594669;18,132313244485
"Região Metropolitana de Campinas";"Total";0;0;0;0;0;0;0;0;93,2352711944531;78,9104963890456;73,587368178216;69,7186537654929;60,5175676384565;55,656769772573;60,5040058952957;61,7934115683601;68,5288459818977;60,7003935266802;51,6988515535862;47,5969512223136;51,9014701280559;53,6092454408957;55,2398592704815
"Região Metropolitana de Campina Grande";"Total";0;0;0;0;0;0;0;0;241,345038926619;322,155609723961;364,988193984955;195,494917296294;197,457711548418;200,817626013459;194,680528934948;199,693288760909;162,064647180248;176,637679171097;97,0701743656331;153,629736721723;202,901254722702;208,894993488484;154,231230212747
"Região Metropolitana de Cajazeiras";"Total";0;0;0;0;0;0;0;0;0;0;122,044876794209;223,904467427231;272,930912520632;318,473171658767;254,764671868828;170,218095492921;265,559884036963;326,162269954202;329,141173804668;280,732610644163;56,7084400125769;0;0
"Região Metropolitana de Caetés";"Total";0;0;0;0;0;0;0;0;12,3043140818142;1,86162538512375;3,74858256721677;0;0;0;0;22,189980370402;4,22715013991867;3,35218939870103;30,6808594049618;54,9989846341298;49,5419469145443;31,6732652635966;34,1783524081091
"Região Metropolitana de Belém";"Total";0;0;0;0;0;0;0;0;5,45381166897545;1,63603548991513;0,791197662274641;10,1383779813576;27,0188278568855;39,3602372630018;58,9504551655336;75,9645310157977;77,9366277795368;77,6488771833116;89,8415609148263;83,2578435660808;82,4773898871491;91,2567765516007;97,475317920699
"Região Metropolitana de Belo Horizonte";"Total";0;0;0;0;0;0;0;0;81,7520470720516;84,4324719264477;105,876981226338;123,488078252574;129,406739707702;143,108794684165;151,961710265571;145,875648977725;139,158764899177;127,245325902693;117,32423948147;125,000466977238;122,004229628316;143,816418866195;161,242070997216
"Região Metropolitana de Barra de Santa Rosa";"Total";0;0;0;0;0;0;0;0;0;1,28034415650927;14,1801915614969;7,70119368502118;75,416709274977;61,2614865287241;37,314825180044;4,95092396618519;3,69581018318899;19,6229932423317;2,46472364286154;22,1116639027087;7,34546968157389;4,88084633875514;7,90597164391504
"Região Metropolitana de Araruna";"Total";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Região Metropolitana de Aracaju";"Total";0;0;0;0;0;0;0;0;86,6031661811447;46,6975046414299;33,8591268891718;39,2645617874455;47,7926427238318;53,2672626520869;48,978411149108;137,511018164849;166,5334824996;184,107844508255;196,662530468472;227,130847344764;167,894085871708;182,340050982034;267,643556709325
"Região Metropolitana de Apucarana";"Total";0;0;0;0;0;0;0;0;23,1130568377259;33,2189877021952;30,7472267037937;21,7313317512004;33,0666189037727;21,3337600085335;35,9011521610499;61,0012830161156;190,135442569176;219,333687345601;201,43038959911;208,430600947109;235,057532495206;201,776430385469;203,295274566816
"Região Metropolitana da Zona da Mata";"Total";0;0;0;0;0;0;0;0;66,0018847960916;155,932363914342;96,0411624794569;151,990383153939;113,932067574452;92,9829321720945;68,2636626258096;72,6479009358759;40,9673539349963;22,2241105453405;0;5,29743438630878;9,58037938302357;2,30752748430057;0
"Região Metropolitana da Zona Leste do Estado do Maranhão";"Total";0;0;0;0;0;0;0;0;0;195,546223972498;283,978755546666;267,006651652985;40,2230693575468;45,5655925715212;59,6657183317158;58,0959806754422;36,5234726720725;76,2726418620627;102,254857105713;67,4963823433449;34,4918286624615;41,2897228149207;77,9003196047359
"Região Metropolitana da Serra Gaúcha";"Total";0;0;0;0;0;0;0;0;52,5530616396555;21,2376224481669;54,6966704078828;36,6641019636704;40,0932067817064;40,6961586641486;41,6961647086685;44,9480288416518;47,175126202749;52,4591936272522;41,9541632988772;38,2856012185827;35,1844521757649;43,7329633204081;42,4128298188313
"Região Metropolitana da Grande Vitória";"Total";0;0;0;0;0;0;0;0;65,9125676099514;73,4855831250056;60,7926508439869;84,0740343643095;86,8822823320619;94,6911072722663;102,011787085159;148,735590421658;139,655062844778;169,879497789271;153,253132056446;132,41807736631;122,652238789605;150,954198754886;103,145238597799
"Região Metropolitana da Grande São Luís";"Total";0;0;0;0;0;0;0;0;223,253145111759;277,388226136272;146,679442765534;103,249995207667;154,93084539402;155,78325249735;143,276124542851;29,4314078400743;48,7134843534406;50,51325293616;43,3038760053346;17,4512909975219;13,3136931029598;0,603681369728881;0,0607531937953978
"Região Metropolitana da Foz do Rio Itajaí";"Total";0;0;0;0;0;0;0;0;54,7261093481767;75,7731612277696;65,5065684881497;75,0679098450921;84,9938276152673;115,936150615594;83,5283149477866;120,4169115304;83,0343109634945;77,6534645626131;71,6943974249514;66,0912611374669;67,1588811585972;76,2667363115795;71,7244553544032
"Região Metropolitana da Capital";"Total";0;0;0;0;0;0;0;0;130,973029853484;206,333882295039;267,040346888055;204,590775286816;291,470330972602;286,504160420604;306,876160792434;391,963437734483;604,466652385217;733,94355570121;574,69823213614;493,827160493827;359,501403334984;137,970852910727;110,058842321129
"Região Metropolitana da Baixada Santista";"Total";0;0;0;0;0;0;0;0;81,2394894140466;75,1605703092971;83,0460971939793;98,8967059651991;101,392971623558;85,4823350669612;92,1633120418496;85,8414464534075;88,9117848378932;75,7023802491177;75,5144012887214;73,3892034778656;67,5982326675899;69,3525496811416;73,2780895189069
"Região Metropolitana Carbonífera";"Total";0;0;0;0;0;0;0;0;24,718453074264;43,8020148926851;61,0680363354816;57,8190857019345;96,9670562016058;129,026693690974;139,655516392898;95,5998765800535;105,052526263132;122,391146930407;106,997541019814;98,440814079627;84,7865110911655;112,682672896484;110,187116630971
"Região Integrada de Desenvolvimento do Distrito Federal e Entorno";"Total";0;0;0;0;0;0;0;0;42,3499842261276;42,527220999451;42,3951576445271;46,4786388355464;27,2912492346045;20,4491790727771;18,6066292762021;18,4025623981712;31,549213103929;29,068612837939;59,9714286027534;58,4730748345154;75,1630930464978;82,2953769374141;102,721254444005
"Região Integrada de Desenvolvimento da Grande Teresina";"Total";0;0;0;0;0;0;0;0;209,423059479706;97,3083026437917;226,33299709199;212,103768219197;181,651571656899;353,009498964894;365,353244874964;457,356238247033;542,610011658907;425,773229259123;424,393129310691;418,170735892253;336,054159331505;429,120513776942;353,547757439752
"Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA";"Total";0;0;0;0;0;0;0;0;78,8360322750788;197,980597901406;287,291851808686;312,514375086251;273,77934718741;308,175330086879;268,329538975563;232,102324567795;289,946447474936;245,460646101692;245,47004459784;244,78467301008;226,01126367896;252,892903381813;221,109003976599
"Entorno Metropolitano da RM Vale do Rio Cuiabá";"Total";0;0;0;0;0;0;0;0;1,11273075253981;5,55641988753806;14,9322306455318;3,44843441077751;16,1050972632838;17,28130508416;19,6338857769822;12,7347241195675;24,2614693207944;17,3681468187344;3,37548944596967;13,5144266504494;21,4031451358536;48,5354703990067;45,2709705857825
"Colar Metropolitano de Belo Horizonte";"Total";0;0;0;0;0;0;0;0;24,2795101015541;29,0183680862837;22,3443632680646;21,5781027589146;56,3952987154803;75,9365653546324;120,322340816449;137,673637276534;140,339803624997;169,994971745204;152,810062567508;156,004701511552;173,876200796865;189,238762433439;169,480046450087
"Colar Metropolitano";"Total";0;0;0;0;0;0;0;0;9,33483686439096;3,35022092845789;1,51383264580101;2,64389392697565;0;0;1,09286830572627;20,3495027090275;0;0,361719905808137;8,80843848406774;19,4232397230906;3,65961215430389;5,84741891274555;27,7522953460943
"-";"Total";0;0;0;0;0;0;0;0;30,4776450571966;43,8499818505931;54,9432828953552;59,8889673472585;64,0592633608173;66,4407867900348;69,2395532146068;66,7814918919049;67,1472525745435;68,0482933295816;71,9163566675102;75,5081699839923;75,4779030237725;83,0993717776424;91,2225262907966
"Área de Expansão Metropolitana";"Ocupantes de automóvel";NA;NA;NA;NA;NA;NA;NA;NA;NA;0,565367828309098;0,580376316003297;NA;NA;0,549764700708097;NA;0,549142788107764;0,545839610488854;0,545559689685648;NA;1,14066706209791;NA;0,571232720210214;NA
"Região Metropolitana do Vale do Rio Cuiabá";"Ocupantes de automóvel";NA;NA;NA;NA;NA;NA;NA;NA;3,09873523929387;15,218006795017;19,3675672585442;19,1797535748288;0,686803752695705;2,25394524941595;0,334943668057427;2,10224896381255;1,42603746968299;2,93693742691649;3,07256118105014;4,4093886382653;0,624648635142732;1,95451534191674;2,5933247820111
"Região Metropolitana do Vale do Paraíba e Litoral Norte";"Ocupantes de automóvel";NA;NA;NA;NA;NA;NA;NA;NA;6,79817558435239;8,76511096276333;9,67060762326492;9,1007417104494;7,67643438730344;6,06630975159293;6,29528076129283;5,38031708817239;6,09884408729183;7,64655462662594;5,81407996139767;5,24952891354339;5,31780688985929;5,65554716841758;5,6662808009248
"Região Metropolitana do Vale do Itajaí";"Ocupantes de automóvel";NA;NA;NA;NA;NA;NA;NA;NA;2,89180538454163;2,10020371976082;3,33463335706239;3,42934058067309;4,22765052549696;5,24928024292054;8,98630513527693;7,78887981628629;7,27176234349764;8,78003870742779;8,52828920046671;7,90358117342646;6,70242891236335;5,18646521178459;6,89104544288036
"Região Metropolitana do Vale do Aço";"Ocupantes de automóvel";NA;NA;NA;NA;NA;NA;NA;NA;22,0323140606222;32,5953137629308;46,2727212345296;35,3325096396303;37,4289774272801;30,7744484151159;35,9035874532527;32,1084111687873;30,0203403122115;19,6639691214868;15,5942102950141;18,6833276412801;16,1471664713059;14,8409642273398;15,9094772538063
"Região Metropolitana do Sul do Estado";"Ocupantes de automóvel";NA;NA;NA;NA;NA;NA;NA;NA;NA;8,67265079571571;NA;NA;2,09248796819418;NA;1,97949245813373;1,94643413266895;1,91501177732243;NA;NA;NA;NA;NA;NA
"Região Metropolitana do Sudoeste Maranhense";"Ocupantes de automóvel";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,140330787732844;0,139477406054993;0,138690484445862;0,137968333508093;NA;NA;NA;0,135071979858066;0,140003864106649
"Região Metropolitana do Rio de Janeiro";"Ocupantes de automóvel";NA;NA;NA;NA;NA;NA;NA;NA;3,79367488697839;3,22993500508369;3,97011824335501;3,79957223961077;5,23791852704243;5,70735992920309;6,5453990474369;6,31218526025243;5,13923282419294;4,93067860337937;3,68307699168732;3,68028218047155;3,34308335852703;4,60919241263249;4,25050178379669
